Age,Budget (NPR),Duration (days),Activity Preference,Spending Score,Cluster,KMeans_Cluster
29,1200.49,1.4,Adventure,4.6,0,1
73,2639.49,24.4,Spiritual,29.0,4,0
21,963.01,2.5,Cultural,9.2,0,1
25,6774.22,13.6,Adventure,34.9,2,3
38,4244.49,12.5,Adventure,16.6,3,3
33,4945.95,12.2,Adventure,22.3,3,3
28,1656.4,1.3,Cultural,6.8,0,1
44,3405.83,4.3,Spiritual,22.3,4,4
18,1322.51,6.0,Adventure,4.7,0,1
31,5700.45,6.3,Adventure,25.4,3,3
43,3124.7,8.2,Cultural,18.0,1,4
37,4197.97,8.2,Adventure,16.2,3,3
52,3443.63,8.1,Spiritual,20.3,4,4
55,3845.31,6.7,Relaxation,15.4,1,4
18,585.55,2.8,Cultural,1.0,0,1
45,3880.8,18.5,Spiritual,23.3,4,4
27,4209.83,12.1,Adventure,18.4,3,3
42,3918.58,11.2,Cultural,17.6,1,3
56,6398.76,17.7,Relaxation,25.3,2,0
63,2613.5,1.8,Spiritual,5.2,4,4
37,1667.63,17.9,Spiritual,16.1,4,4
24,1558.25,5.8,Adventure,13.9,0,1
45,12686.0,38.0,Cultural,56.8,2,0
39,4173.84,7.9,Relaxation,5.7,1,4
27,1035.32,1.0,Adventure,4.4,0,1
44,13783.0,26.0,Relaxation,58.2,2,0
30,566.2,1.9,Adventure,2.9,0,1
39,2524.23,1.0,Spiritual,2.1,4,4
31,816.73,6.2,Adventure,1.0,0,1
45,4480.25,1.0,Spiritual,14.6,4,4
44,2939.1,1.0,Spiritual,6.3,4,4
33,5203.63,9.0,Adventure,20.3,3,3
18,738.38,6.2,Adventure,4.4,0,1
70,6314.97,7.5,Cultural,29.7,2,0
23,1820.58,2.6,Spiritual,10.0,4,4
64,3215.01,14.1,Spiritual,22.7,4,4
22,1227.88,2.4,Adventure,1.2,0,1
49,3203.45,4.9,Spiritual,21.0,4,4
57,3502.52,9.5,Relaxation,19.4,1,4
18,1047.95,6.8,Adventure,14.5,0,1
28,4576.26,1.1,Relaxation,17.0,1,4
46,4914.54,6.1,Cultural,14.5,1,4
54,2548.83,6.7,Relaxation,15.9,1,4
19,590.17,2.3,Adventure,5.8,0,1
25,1092.3,3.0,Adventure,1.0,0,1
29,2238.62,8.9,Adventure,9.3,3,1
46,1831.28,2.7,Cultural,14.6,0,4
30,3252.74,10.7,Relaxation,17.0,1,4
27,1134.54,1.2,Adventure,10.6,0,1
32,3409.81,8.4,Relaxation,14.1,1,4
18,1984.15,1.0,Spiritual,4.4,4,4
63,3226.47,19.1,Spiritual,22.7,4,4
44,958.64,8.4,Relaxation,11.9,0,4
70,2863.09,9.5,Cultural,18.8,1,4
44,4170.26,7.7,Relaxation,19.6,1,4
20,646.21,2.4,Cultural,1.0,0,1
52,3544.69,6.0,Cultural,6.5,1,4
22,981.65,2.5,Adventure,5.8,0,1
25,934.09,5.0,Cultural,6.6,0,1
36,6239.57,14.7,Adventure,30.6,2,3
47,3842.25,6.8,Relaxation,14.6,1,4
29,768.24,1.1,Adventure,1.0,0,1
31,1363.76,2.1,Adventure,9.6,0,1
19,2146.82,1.4,Spiritual,6.8,4,4
56,3962.9,14.1,Spiritual,27.8,4,4
38,5342.04,10.7,Relaxation,21.0,2,4
43,5304.42,9.8,Adventure,21.3,3,3
36,3862.96,14.8,Relaxation,21.8,1,4
58,9322.0,6.9,Relaxation,42.5,2,0
50,7515.82,8.2,Relaxation,20.1,2,0
37,5655.68,8.3,Adventure,19.7,3,3
31,5840.25,7.3,Adventure,22.4,3,3
54,14641.0,20.0,Cultural,68.0,2,0
26,2003.79,1.5,Spiritual,13.0,4,4
25,2594.22,4.4,Adventure,12.0,3,1
39,6243.1,12.6,Adventure,32.6,2,3
28,4684.59,7.1,Adventure,15.6,3,3
29,917.92,12.0,Adventure,9.8,0,1
45,2443.62,12.4,Spiritual,16.9,4,4
44,1714.0,83.0,Cultural,58.4,0,2
20,1412.12,4.4,Adventure,1.0,0,1
56,5729.65,15.4,Cultural,23.6,2,0
33,5232.56,7.8,Adventure,18.2,3,3
24,1156.15,2.0,Adventure,2.5,0,1
23,1854.02,5.1,Adventure,8.4,0,1
23,1451.58,4.2,Adventure,10.9,0,1
29,1035.92,2.3,Adventure,1.0,0,1
22,2174.93,7.9,Adventure,11.1,3,1
42,4277.72,8.3,Relaxation,19.2,1,4
22,984.66,3.4,Adventure,14.7,0,1
48,4619.59,5.0,Cultural,18.4,1,4
45,7856.74,18.1,Cultural,36.3,2,0
18,1773.82,6.3,Cultural,10.5,0,1
51,6792.71,10.9,Adventure,22.7,2,3
32,5485.93,12.3,Relaxation,20.1,2,4
26,523.75,2.8,Cultural,6.7,0,1
64,12636.0,35.0,Relaxation,65.6,2,0
29,749.65,3.9,Adventure,3.9,0,1
24,1236.8,7.4,Adventure,8.3,0,1
22,602.46,2.9,Cultural,1.0,0,1
27,2540.84,9.7,Cultural,8.5,1,1
27,4437.04,13.8,Relaxation,31.8,1,3
42,6153.31,5.8,Adventure,17.0,3,3
40,4625.55,8.9,Cultural,27.4,1,3
33,6436.99,13.5,Adventure,32.9,2,3
21,6332.81,15.2,Relaxation,29.1,2,3
58,7351.03,21.2,Cultural,25.6,2,0
19,2447.64,6.5,Cultural,15.3,1,1
30,814.05,2.2,Adventure,1.0,0,1
24,6287.74,9.8,Relaxation,21.8,2,3
48,4119.93,9.1,Adventure,14.5,3,3
29,4044.53,3.3,Spiritual,15.8,4,4
26,2470.63,1.3,Cultural,7.8,1,1
39,3085.79,6.0,Cultural,16.7,1,4
21,2304.48,3.6,Spiritual,10.8,4,4
62,2530.37,12.8,Spiritual,23.8,4,4
20,2429.39,5.0,Spiritual,12.8,4,4
49,2513.78,13.6,Spiritual,12.1,4,4
18,555.55,8.4,Adventure,10.7,0,1
50,5993.88,14.9,Cultural,31.6,2,0
48,3980.17,8.7,Relaxation,18.9,1,4
34,5964.37,21.7,Relaxation,32.4,2,0
24,686.44,2.2,Adventure,3.0,0,1
52,2986.67,8.4,Cultural,7.2,1,4
46,3905.88,24.3,Relaxation,35.1,1,0
18,756.4,5.7,Adventure,5.1,0,1
47,3112.51,11.6,Spiritual,16.7,4,4
42,5612.88,9.4,Relaxation,18.9,2,4
31,5557.18,14.1,Adventure,32.4,3,3
61,6667.09,9.5,Cultural,27.3,2,0
40,10325.0,39.0,Relaxation,56.5,2,0
58,3662.91,15.9,Spiritual,19.3,4,4
53,3629.36,7.0,Cultural,11.0,1,4
24,782.06,2.0,Cultural,4.7,0,1
32,3840.83,12.7,Adventure,30.5,3,3
32,5216.6,9.3,Adventure,16.4,3,3
27,4630.22,11.1,Relaxation,19.3,1,4
42,3733.25,5.6,Cultural,21.6,1,3
26,1195.12,6.2,Adventure,4.9,0,1
19,2944.69,3.1,Spiritual,6.4,4,4
32,3989.25,11.0,Relaxation,25.4,1,4
19,3598.78,6.6,Cultural,22.3,1,3
43,3906.09,12.8,Adventure,15.6,3,3
20,507.86,1.0,Cultural,1.0,0,1
34,4793.04,3.5,Cultural,12.2,1,3
40,4603.21,3.6,Relaxation,22.7,1,4
29,5827.93,15.3,Adventure,23.5,3,3
29,2281.13,4.5,Adventure,10.8,3,1
22,1568.1,4.0,Adventure,10.4,0,1
25,4832.49,11.3,Adventure,26.5,3,3
53,8807.33,22.7,Relaxation,46.2,2,0
66,4702.58,12.7,Spiritual,18.4,4,4
24,706.26,1.7,Cultural,1.3,0,1
22,794.45,1.4,Adventure,4.4,0,1
57,9399.5,16.0,Relaxation,49.7,2,0
59,10821.49,6.2,Cultural,39.7,2,0
59,1082.38,15.9,Spiritual,16.3,4,4
27,568.12,5.9,Cultural,7.3,0,1
21,3937.61,18.1,Adventure,23.2,3,3
23,600.76,1.5,Adventure,1.0,0,1
65,3509.41,15.8,Spiritual,14.8,4,4
68,2174.91,9.6,Spiritual,8.3,4,4
26,564.06,1.5,Adventure,3.4,0,1
22,3135.89,2.7,Adventure,18.2,3,1
45,4881.67,6.2,Relaxation,13.5,1,4
27,1785.22,5.7,Adventure,14.3,3,1
57,8356.71,10.8,Cultural,40.7,2,0
18,560.16,8.8,Adventure,4.2,0,1
27,5624.61,8.2,Adventure,23.8,3,3
30,3610.74,11.8,Relaxation,20.2,1,4
61,3165.39,8.8,Spiritual,15.7,4,4
52,7745.0,13.0,Cultural,32.3,2,0
27,639.05,8.1,Adventure,13.7,0,1
30,1109.07,10.0,Adventure,3.7,0,1
21,1990.35,2.5,Adventure,14.2,0,1
54,3326.03,1.0,Spiritual,17.9,4,4
55,9395.78,17.0,Cultural,38.9,2,0
23,5913.41,11.4,Adventure,21.8,2,3
65,2048.04,10.4,Spiritual,13.4,4,4
67,3778.14,12.2,Spiritual,11.2,4,4
41,5888.51,4.5,Adventure,23.7,3,3
21,1478.19,3.8,Cultural,1.0,0,1
40,3619.47,5.7,Cultural,19.9,1,3
57,8482.85,24.2,Relaxation,44.6,2,0
30,6662.69,6.8,Adventure,15.5,3,3
36,5724.48,12.0,Adventure,24.4,3,3
21,5445.02,10.8,Relaxation,19.1,2,3
66,4093.97,6.7,Relaxation,15.3,1,4
55,3970.28,4.8,Cultural,19.5,1,4
26,2994.4,8.1,Adventure,10.5,3,1
29,3692.58,7.8,Relaxation,13.0,1,4
31,2186.38,5.5,Adventure,3.3,3,1
29,1069.74,6.5,Adventure,11.8,0,1
43,8540.56,19.9,Relaxation,39.4,2,0
24,382.0,1.0,Adventure,1.3,0,1
30,4226.37,8.2,Cultural,21.8,1,3
49,2394.39,4.3,Cultural,12.1,1,4
20,4343.87,1.2,Adventure,9.0,3,1
42,2676.02,11.7,Cultural,12.2,1,4
21,1248.66,1.3,Adventure,9.7,0,1
49,5772.88,12.3,Adventure,19.4,2,3
31,4275.16,11.9,Adventure,19.8,3,3
29,674.3,1.4,Cultural,1.1,0,1
31,709.79,9.5,Adventure,7.8,0,1
23,1555.81,5.0,Adventure,8.2,0,1
33,5175.46,5.5,Adventure,12.1,3,3
64,5254.15,13.4,Cultural,17.6,2,4
43,4456.43,7.3,Relaxation,17.2,1,4
27,4838.96,9.8,Relaxation,17.1,1,4
75,8125.64,17.7,Relaxation,42.6,2,0
36,2848.22,6.5,Adventure,10.1,3,1
70,8933.9,21.2,Relaxation,47.6,2,0
35,3856.57,12.2,Adventure,22.3,3,3
30,3479.56,3.5,Adventure,18.3,3,3
28,5899.64,7.0,Adventure,29.7,3,3
57,3486.71,7.8,Cultural,12.7,1,4
41,7312.62,6.6,Relaxation,23.0,2,4
45,3460.83,7.3,Relaxation,12.8,1,4
54,4481.54,15.2,Spiritual,16.2,4,4
30,2048.67,3.3,Cultural,20.4,1,1
62,2347.61,22.2,Spiritual,18.7,4,4
39,3794.01,10.9,Relaxation,17.5,1,4
20,798.85,1.2,Adventure,3.0,0,1
48,10821.0,31.0,Cultural,51.1,2,0
37,2027.65,16.8,Spiritual,26.6,4,4
27,1569.8,11.6,Adventure,11.7,3,1
43,7293.39,14.0,Relaxation,29.3,2,0
24,2623.78,7.1,Cultural,12.8,1,1
47,10248.84,13.1,Relaxation,40.8,2,0
31,3013.32,7.2,Cultural,5.8,1,1
49,7239.19,14.2,Relaxation,33.8,2,0
38,3067.97,7.9,Relaxation,14.4,1,4
33,5223.31,17.5,Adventure,24.2,3,3
46,3159.32,3.5,Spiritual,22.3,4,4
23,972.48,1.4,Cultural,1.0,0,1
75,2833.66,18.2,Spiritual,16.7,4,4
22,1965.37,2.9,Cultural,9.9,0,1
36,2979.47,10.9,Cultural,16.8,1,3
69,1124.0,12.0,Cultural,13.8,0,4
24,517.0,1.0,Adventure,5.7,0,1
43,5651.91,6.2,Adventure,17.6,3,3
26,8122.98,8.5,Adventure,37.2,3,3
43,9160.16,7.0,Cultural,36.3,2,0
45,5634.36,9.5,Adventure,27.5,3,3
66,2110.74,12.2,Spiritual,11.2,4,4
59,7921.82,11.8,Relaxation,22.7,2,0
25,598.97,2.6,Adventure,9.7,0,1
58,3807.68,12.4,Spiritual,14.0,4,4
32,4479.16,8.7,Adventure,17.5,3,3
51,2212.2,6.0,Spiritual,10.2,4,4
42,8390.31,13.7,Cultural,35.2,2,0
53,3807.36,4.2,Cultural,14.3,1,4
20,1281.65,4.2,Cultural,1.0,0,1
39,1354.0,76.0,Cultural,41.7,0,2
31,4795.79,14.6,Relaxation,14.2,1,4
33,3258.68,7.7,Adventure,5.2,3,1
25,2325.88,2.0,Spiritual,1.0,4,4
40,3157.08,6.7,Cultural,16.8,1,4
21,593.65,2.5,Cultural,4.5,0,1
61,1196.63,16.2,Spiritual,8.8,4,4
29,5125.42,15.8,Adventure,28.6,3,3
67,10389.43,10.0,Relaxation,38.0,2,0
66,1861.18,8.9,Spiritual,12.6,4,4
23,558.0,1.0,Adventure,1.3,0,1
65,7014.14,12.9,Cultural,34.3,2,0
42,7621.92,11.2,Relaxation,36.2,2,0
34,2876.31,1.0,Spiritual,8.9,4,4
21,11406.0,3.0,Adventure,41.1,2,3
32,3847.6,4.0,Relaxation,13.2,1,4
20,1302.24,1.6,Adventure,7.8,0,1
19,932.45,3.8,Adventure,1.0,0,1
34,2157.12,1.0,Spiritual,10.0,4,4
43,3634.06,4.3,Cultural,11.2,1,4
31,3725.31,13.1,Adventure,22.2,3,3
70,1510.12,14.1,Spiritual,15.0,4,4
35,2047.56,5.3,Spiritual,9.3,4,4
67,3453.67,7.5,Cultural,24.5,1,4
23,2177.76,1.3,Adventure,4.5,3,1
41,9158.0,41.0,Cultural,51.9,2,0
45,6016.13,10.5,Adventure,25.1,2,3
48,7998.57,15.8,Relaxation,35.3,2,0
18,650.68,4.2,Cultural,1.0,0,1
26,2779.0,70.0,Relaxation,44.8,1,2
22,1271.15,4.4,Adventure,15.0,0,1
26,4419.83,7.2,Relaxation,19.1,1,4
65,7282.7,7.8,Relaxation,25.7,2,0
37,4072.6,12.4,Relaxation,16.6,1,4
46,4251.68,12.8,Adventure,23.2,3,3
58,9426.16,12.5,Relaxation,40.0,2,0
24,1846.71,6.1,Spiritual,12.0,4,4
39,4540.4,5.3,Adventure,25.9,3,3
54,4287.85,13.9,Relaxation,22.5,1,4
29,723.22,3.1,Adventure,1.0,0,1
62,9514.08,12.2,Relaxation,40.4,2,0
29,3632.32,7.9,Cultural,19.7,1,3
54,2902.91,11.4,Spiritual,17.9,4,4
45,3800.36,4.9,Cultural,5.4,1,4
21,1309.43,2.6,Adventure,3.1,0,1
29,620.76,2.2,Adventure,1.0,0,1
20,2142.84,6.6,Spiritual,6.7,4,4
20,4403.75,12.0,Adventure,15.6,3,3
62,6936.74,9.9,Relaxation,28.0,2,0
32,5475.58,5.9,Adventure,27.1,3,3
30,612.06,3.4,Adventure,7.4,0,1
51,4259.05,6.0,Cultural,10.2,1,4
21,1642.66,2.0,Adventure,9.7,0,1
25,3408.16,5.0,Cultural,17.7,1,3
45,3259.63,4.1,Cultural,17.6,1,4
49,10211.45,7.0,Cultural,43.6,2,0
35,2760.5,13.6,Adventure,22.8,3,3
22,525.3,1.5,Adventure,1.0,0,1
31,2911.91,7.8,Relaxation,15.2,1,4
30,2590.82,14.1,Spiritual,20.7,4,4
24,3175.13,8.8,Relaxation,23.5,1,4
26,1355.41,4.7,Cultural,14.5,0,1
37,6404.23,7.5,Adventure,29.0,3,3
18,3604.75,7.1,Relaxation,15.2,1,4
57,3313.31,13.2,Spiritual,21.8,4,4
21,6123.66,7.3,Adventure,19.3,2,3
71,8217.21,7.5,Relaxation,31.2,2,0
29,2440.15,1.2,Spiritual,1.0,4,4
46,4748.43,10.4,Adventure,18.6,3,3
56,1985.79,8.8,Cultural,16.2,0,4
28,3302.64,11.4,Relaxation,13.5,1,4
35,7250.27,7.6,Adventure,29.1,3,3
33,7612.75,6.6,Relaxation,35.8,2,0
27,1381.12,2.1,Cultural,9.2,0,1
35,5986.31,8.1,Adventure,24.4,3,3
47,9714.0,39.0,Relaxation,52.4,2,0
54,5239.16,13.3,Relaxation,33.1,2,0
61,2413.13,14.6,Spiritual,17.3,4,4
27,3028.96,2.6,Cultural,11.2,1,1
75,6242.74,9.5,Relaxation,24.1,2,0
26,620.06,2.1,Adventure,6.7,0,1
39,2841.0,40.0,Cultural,20.7,1,2
18,3013.69,16.1,Spiritual,22.5,4,4
26,2121.61,4.2,Adventure,1.0,3,1
33,4461.96,6.3,Relaxation,23.6,1,4
58,9923.81,22.6,Relaxation,42.9,2,0
48,3582.29,3.8,Cultural,18.6,1,4
39,3993.61,5.5,Adventure,16.6,3,3
51,7727.49,15.2,Cultural,31.6,2,0
34,5113.62,7.7,Adventure,24.5,3,3
38,2753.0,85.0,Relaxation,56.4,1,2
18,1725.56,1.4,Spiritual,6.4,4,4
19,1282.85,2.3,Adventure,1.3,0,1
36,3065.52,11.6,Spiritual,19.6,4,4
44,2800.45,7.4,Cultural,14.7,1,4
53,2626.29,7.8,Cultural,9.5,1,4
29,1190.93,2.3,Adventure,8.3,0,1
57,1492.56,5.8,Spiritual,2.9,4,4
49,3258.9,11.9,Adventure,16.2,3,3
36,4539.9,7.2,Adventure,13.6,3,3
55,2578.46,16.2,Spiritual,19.4,4,4
20,850.8,8.5,Adventure,3.4,0,1
54,3415.34,6.7,Cultural,15.2,1,4
21,660.32,3.8,Adventure,11.1,0,1
24,513.0,1.0,Adventure,2.3,0,1
41,2929.13,6.9,Cultural,10.1,1,4
29,816.17,5.0,Cultural,5.1,0,1
47,2993.41,6.7,Cultural,11.2,1,4
21,606.52,5.9,Cultural,6.3,0,1
40,4596.56,10.1,Adventure,28.7,3,3
38,3210.7,8.7,Adventure,12.1,3,3
27,669.26,2.1,Adventure,12.1,0,1
41,1210.0,33.0,Adventure,15.8,3,3
53,8745.75,21.3,Relaxation,41.6,2,0
29,5921.01,5.4,Adventure,25.7,3,3
60,3629.68,16.3,Spiritual,22.4,4,4
48,4295.03,2.2,Relaxation,9.0,1,4
36,3201.39,9.1,Cultural,10.4,1,4
46,2856.84,5.3,Cultural,11.7,1,4
65,3264.44,7.7,Cultural,10.8,1,4
47,4454.65,6.4,Relaxation,16.8,1,4
28,1123.43,7.6,Adventure,10.0,0,1
47,8889.39,12.9,Relaxation,34.1,2,0
39,6449.0,12.8,Adventure,36.9,2,3
42,3851.06,14.3,Spiritual,19.5,4,4
24,566.81,5.7,Cultural,10.5,0,1
34,2663.19,9.3,Adventure,19.1,3,3
30,996.84,5.9,Adventure,6.4,0,1
25,1927.67,2.5,Cultural,14.7,0,1
37,3515.5,5.3,Relaxation,9.7,1,4
68,7024.98,14.9,Relaxation,34.5,2,0
44,1959.16,18.7,Spiritual,16.3,4,4
57,8230.83,12.1,Relaxation,35.0,2,0
31,3386.68,2.8,Cultural,18.1,1,3
26,1113.11,4.4,Adventure,5.2,0,1
30,4009.88,8.3,Adventure,16.7,3,3
40,2550.93,6.8,Cultural,18.5,1,4
24,5845.75,7.8,Relaxation,22.5,2,3
29,1505.95,12.8,Spiritual,10.5,4,4
31,634.96,2.7,Adventure,11.0,0,1
54,3347.3,10.4,Relaxation,31.6,1,4
47,3832.66,5.8,Cultural,19.0,1,4
68,7504.59,5.4,Cultural,31.5,2,0
52,3255.85,7.1,Cultural,19.4,1,4
23,941.5,6.7,Adventure,6.8,0,1
19,740.67,2.8,Adventure,1.0,0,1
34,4165.29,7.0,Relaxation,19.2,1,4
75,7034.4,23.3,Relaxation,35.2,2,0
25,5445.26,11.4,Adventure,27.3,3,3
32,7526.1,2.3,Adventure,20.0,3,3
53,3717.94,6.7,Cultural,21.4,1,4
26,5397.04,12.5,Adventure,19.9,3,3
25,4991.29,8.3,Adventure,26.4,3,3
22,1139.21,3.9,Adventure,8.1,0,1
28,886.49,8.5,Adventure,1.6,0,1
40,3724.04,10.4,Spiritual,21.7,4,4
41,4708.73,15.8,Adventure,28.9,3,3
37,5015.09,16.5,Adventure,30.3,3,3
21,4927.82,9.4,Relaxation,12.1,1,4
52,8018.12,13.3,Cultural,31.2,2,0
28,740.26,2.8,Adventure,1.0,0,1
50,2981.55,20.4,Spiritual,18.1,4,4
60,3413.46,19.6,Spiritual,25.6,4,4
30,1234.22,1.8,Adventure,11.0,0,1
54,2043.13,9.4,Relaxation,13.1,1,4
27,5592.24,3.7,Adventure,27.1,3,3
59,8377.53,13.1,Relaxation,36.1,2,0
28,4023.74,3.7,Spiritual,9.1,4,4
39,2283.6,11.3,Spiritual,18.4,4,4
21,492.0,1.0,Adventure,7.7,0,1
32,3941.82,10.5,Adventure,13.0,3,3
59,6971.32,19.2,Cultural,41.5,2,0
47,3235.38,5.9,Cultural,17.9,1,4
29,4793.13,15.0,Adventure,19.6,3,3
29,2358.66,13.9,Spiritual,18.5,4,4
27,1334.11,3.3,Cultural,6.5,0,1
26,5578.36,3.2,Adventure,18.8,3,3
30,4569.75,8.6,Adventure,25.0,3,3
41,7594.85,18.9,Cultural,36.6,2,0
66,2482.91,8.0,Spiritual,14.4,4,4
20,3013.7,6.3,Spiritual,7.3,4,4
75,6923.73,16.6,Cultural,37.1,2,0
65,5762.1,22.0,Relaxation,35.8,2,0
40,3428.01,8.9,Adventure,12.8,3,3
52,5133.74,7.4,Cultural,22.3,2,3
41,4165.03,13.9,Adventure,22.8,3,3
38,5543.45,10.4,Adventure,28.2,3,3
35,4057.06,6.3,Cultural,31.6,1,3
46,8153.32,12.5,Relaxation,28.1,2,0
31,1085.24,5.6,Cultural,10.8,0,1
59,2456.53,12.1,Spiritual,8.2,4,4
23,5524.85,5.7,Relaxation,23.2,2,3
26,5155.31,7.3,Adventure,10.9,3,3
42,2115.66,20.7,Spiritual,24.0,4,4
62,445.93,18.5,Spiritual,17.4,4,4
24,834.62,2.3,Cultural,1.0,0,1
48,2614.9,22.5,Spiritual,21.2,4,4
55,3389.19,12.3,Cultural,9.1,1,4
45,2908.78,2.4,Relaxation,13.5,1,4
68,1413.0,9.0,Spiritual,5.6,4,4
24,2088.58,21.4,Spiritual,7.5,4,4
49,3013.3,25.0,Spiritual,31.1,4,4
34,2504.37,7.7,Cultural,9.8,1,1
47,3282.95,8.7,Cultural,23.8,1,4
51,3058.47,26.8,Spiritual,32.9,4,0
45,8514.54,12.4,Relaxation,36.9,2,0
35,5085.7,13.7,Adventure,29.4,3,3
35,3151.09,10.2,Relaxation,20.4,1,4
37,4555.08,11.7,Adventure,21.7,3,3
27,515.93,3.5,Adventure,7.4,0,1
42,2512.39,7.2,Cultural,15.1,1,4
41,3174.49,4.3,Cultural,20.4,1,3
26,1906.06,1.6,Cultural,8.9,0,1
35,3231.8,6.3,Cultural,9.1,1,1
55,8160.53,22.1,Cultural,35.2,2,0
45,8065.89,14.7,Cultural,35.1,2,0
51,4211.32,4.7,Cultural,20.2,1,4
30,751.57,2.3,Adventure,5.2,0,1
49,3969.81,4.4,Relaxation,22.9,1,4
52,5694.13,19.1,Relaxation,23.6,2,0
22,2083.16,1.3,Adventure,9.4,3,1
51,6653.57,22.7,Relaxation,29.1,2,0
47,3041.47,17.3,Spiritual,32.1,4,4
47,3126.59,12.3,Cultural,16.1,1,4
47,3831.82,4.1,Relaxation,14.3,1,4
53,7067.2,9.7,Relaxation,26.5,2,0
45,6044.59,25.2,Relaxation,23.4,2,0
48,7781.19,21.0,Relaxation,37.8,2,0
50,8100.25,12.8,Relaxation,33.6,2,0
62,1575.6,11.0,Spiritual,8.0,4,4
31,3188.01,12.6,Adventure,13.9,3,3
39,2854.9,7.7,Cultural,14.7,1,4
27,1127.43,1.2,Adventure,2.8,0,1
22,857.2,2.6,Adventure,2.4,0,1
23,1159.49,2.0,Adventure,7.2,0,1
40,2637.19,7.3,Cultural,12.0,1,4
27,720.28,4.3,Adventure,2.3,0,1
26,1014.29,3.8,Adventure,3.1,0,1
68,300.0,24.1,Spiritual,16.3,4,4
60,1364.0,5.0,Cultural,10.2,0,4
38,3660.72,10.7,Adventure,21.6,3,3
26,980.29,7.4,Cultural,7.6,0,1
29,1034.66,1.2,Cultural,9.8,0,1
58,9313.52,10.0,Relaxation,31.8,2,0
20,4467.77,16.5,Relaxation,23.8,1,3
34,4741.32,5.9,Relaxation,31.4,1,4
20,782.32,2.5,Adventure,5.5,0,1
38,4528.64,8.2,Adventure,20.6,3,3
50,4809.39,8.2,Cultural,27.1,1,3
31,960.44,4.1,Adventure,16.2,0,1
71,1322.0,13.0,Spiritual,15.4,4,4
44,6402.47,8.2,Adventure,20.3,3,3
62,7731.05,8.2,Cultural,32.5,2,0
27,1124.07,4.1,Cultural,2.0,0,1
27,3272.35,8.4,Adventure,21.4,3,3
20,1912.33,2.3,Cultural,11.3,0,1
30,1469.78,6.3,Adventure,4.1,0,1
30,4592.02,7.5,Adventure,16.5,3,3
19,1535.53,7.9,Spiritual,13.4,4,4
21,950.94,10.4,Adventure,1.0,0,1
30,777.55,2.8,Cultural,7.2,0,1
25,1974.74,1.8,Spiritual,9.2,4,4
49,6760.62,18.6,Relaxation,35.9,2,0
68,6554.93,13.5,Relaxation,29.9,2,0
22,1976.88,4.1,Spiritual,8.0,4,4
24,858.25,6.8,Cultural,1.0,0,1
25,4371.49,11.7,Adventure,15.6,3,3
58,2333.42,10.9,Spiritual,17.7,4,4
22,2020.8,4.1,Adventure,7.0,3,1
67,1281.0,8.0,Spiritual,14.7,4,4
28,508.87,2.5,Adventure,3.1,0,1
60,1428.0,14.0,Spiritual,11.3,4,4
34,5527.81,13.8,Relaxation,21.3,2,4
30,937.75,1.3,Cultural,6.1,0,1
50,3755.97,2.5,Relaxation,11.2,1,4
40,6162.2,7.5,Adventure,22.1,3,3
44,3883.61,9.2,Cultural,15.2,1,4
31,1432.83,7.7,Adventure,17.2,0,1
45,2063.49,5.1,Cultural,3.6,1,1
28,4370.17,4.1,Adventure,18.2,3,3
23,3006.23,1.8,Cultural,9.0,1,1
23,2809.26,14.2,Adventure,17.4,3,3
26,840.89,2.8,Adventure,7.2,0,1
49,5883.42,19.8,Cultural,29.5,2,0
28,514.85,7.1,Adventure,6.8,0,1
28,1539.12,3.2,Adventure,12.2,3,1
21,666.63,4.3,Adventure,1.0,0,1
28,4997.3,15.6,Adventure,27.9,3,3
50,7529.99,20.8,Relaxation,45.4,2,0
27,1194.33,2.9,Adventure,3.7,0,1
26,1413.84,4.5,Spiritual,7.9,0,4
18,590.52,10.4,Adventure,13.8,0,1
18,2556.69,7.4,Spiritual,19.5,4,4
27,1023.05,2.9,Adventure,1.5,0,1
21,5394.42,11.4,Adventure,36.2,2,3
43,4078.26,8.1,Cultural,21.4,1,3
30,1142.45,2.9,Cultural,1.0,0,1
62,7891.15,20.3,Relaxation,32.6,2,0
28,746.96,2.3,Cultural,1.0,0,1
41,5124.6,9.1,Adventure,25.7,3,3
31,6664.35,6.0,Adventure,34.9,3,3
46,2070.92,16.6,Spiritual,8.8,4,4
47,4771.15,6.1,Relaxation,17.5,1,4
56,7292.5,4.4,Cultural,35.8,2,0
19,4292.49,2.9,Spiritual,15.5,4,4
30,1506.53,2.3,Adventure,9.9,3,1
19,11323.0,3.0,Adventure,40.5,2,3
38,3072.19,6.6,Cultural,1.7,1,1
28,3379.53,8.7,Spiritual,22.9,4,4
39,5112.88,14.1,Adventure,30.4,3,3
61,5500.98,22.5,Relaxation,34.6,2,0
48,2849.74,6.3,Relaxation,17.8,1,4
25,530.17,1.9,Adventure,7.4,0,1
34,5705.23,10.1,Adventure,17.0,3,3
69,3272.46,20.1,Spiritual,22.9,4,4
29,981.5,5.4,Cultural,3.2,0,1
28,567.51,5.9,Adventure,4.9,0,1
57,5145.92,7.5,Relaxation,19.5,2,4
27,5182.72,5.6,Relaxation,27.8,2,3
23,10165.0,8.0,Relaxation,38.5,2,0
20,5008.82,9.0,Adventure,21.6,2,3
75,3003.31,1.0,Spiritual,6.6,4,4
